Date,Open,High,Low,Close,Volume
2023-10-04 14:00:00,1823.13,1827.22,1822.89,1825.01,9724
2023-10-04 15:00:00,1825.01,1830.79,1823.73,1827.32,21187
2023-10-04 16:00:00,1827.32,1827.47,1817.75,1820.38,19228
2023-10-04 17:00:00,1820.38,1821.95,1817.13,1818.43,27504
2023-10-04 18:00:00,1818.45,1826.36,1817.33,1823.74,16084
2023-10-04 19:00:00,1823.74,1824.04,1820.92,1821.0,9468
2023-10-04 20:00:00,1820.98,1821.35,1818.28,1818.37,6346
2023-10-04 21:00:00,1818.36,1818.79,1816.58,1817.61,4329
2023-10-04 22:00:00,1817.62,1823.71,1817.45,1823.32,4772
2023-10-04 23:00:00,1823.33,1823.35,1820.39,1821.1,1586
2023-10-05 01:00:00,1821.26,1822.42,1821.26,1822.41,979
2023-10-05 02:00:00,1822.41,1823.92,1822.32,1822.53,1177
2023-10-05 03:00:00,1822.52,1825.71,1821.82,1825.65,3565
2023-10-05 04:00:00,1825.64,1828.17,1825.63,1828.08,5355
2023-10-05 05:00:00,1828.09,1828.43,1826.05,1826.19,2047
2023-10-05 06:00:00,1826.19,1828.71,1825.9,1828.29,2257
2023-10-05 07:00:00,1828.37,1829.2,1827.41,1827.67,1982
2023-10-05 08:00:00,1827.67,1828.21,1826.28,1826.31,2414
2023-10-05 09:00:00,1826.31,1826.59,1822.16,1822.26,4578
2023-10-05 10:00:00,1822.24,1822.84,1819.9,1820.71,6914
2023-10-05 11:00:00,1820.71,1822.46,1819.73,1819.88,7098
2023-10-05 12:00:00,1819.82,1823.37,1819.66,1822.0,4783
2023-10-05 13:00:00,1822.0,1824.01,1820.74,1823.24,5542
2023-10-05 14:00:00,1823.24,1823.44,1820.25,1823.04,6952
2023-10-05 15:00:00,1823.06,1823.91,1813.01,1815.7,19191
2023-10-05 16:00:00,1815.71,1821.89,1814.13,1820.69,23623
2023-10-05 17:00:00,1820.69,1821.14,1816.46,1819.93,21149
2023-10-05 18:00:00,1819.92,1819.99,1814.41,1815.53,15720
2023-10-05 19:00:00,1815.48,1818.39,1814.85,1818.15,9545
2023-10-05 20:00:00,1818.15,1819.5,1815.89,1819.13,7086
2023-10-05 21:00:00,1819.14,1820.64,1818.63,1820.26,5439
2023-10-05 22:00:00,1820.25,1820.89,1819.73,1820.35,4741
2023-10-05 23:00:00,1820.35,1820.63,1819.48,1820.24,1426
2023-10-06 01:00:00,1820.41,1821.41,1820.27,1821.18,808
2023-10-06 02:00:00,1821.19,1823.21,1821.15,1821.28,1422
2023-10-06 03:00:00,1821.28,1822.18,1820.24,1820.7,2906
2023-10-06 04:00:00,1820.7,1823.25,1819.71,1822.81,4236
2023-10-06 05:00:00,1822.8,1824.12,1822.43,1823.85,3391
2023-10-06 06:00:00,1823.86,1824.47,1823.31,1824.0,2503
2023-10-06 07:00:00,1823.98,1824.58,1822.57,1822.79,2334
2023-10-06 08:00:00,1822.79,1822.91,1820.74,1821.36,3004
2023-10-06 09:00:00,1821.39,1821.64,1818.62,1819.42,4389
2023-10-06 10:00:00,1819.42,1821.63,1818.61,1821.41,8283
2023-10-06 11:00:00,1821.41,1822.11,1819.32,1821.93,5836
2023-10-06 12:00:00,1821.93,1822.34,1820.06,1820.5,4709
2023-10-06 13:00:00,1820.51,1825.14,1820.48,1822.61,6235
2023-10-06 14:00:00,1822.61,1822.79,1820.69,1821.27,5922
2023-10-06 15:00:00,1821.27,1821.75,1810.47,1815.11,29949
2023-10-06 16:00:00,1815.08,1826.04,1813.92,1821.24,33806
2023-10-06 17:00:00,1821.29,1831.52,1820.93,1823.58,24875
2023-10-06 18:00:00,1823.58,1834.9,1823.57,1832.63,24000
2023-10-06 19:00:00,1832.63,1833.45,1829.0,1829.21,12825
2023-10-06 20:00:00,1829.22,1832.25,1828.81,1831.85,8139
2023-10-06 21:00:00,1831.89,1833.98,1831.51,1831.89,4826
2023-10-06 22:00:00,1831.89,1831.98,1829.05,1829.45,4773
2023-10-06 23:00:00,1829.46,1832.24,1828.92,1831.84,1755
2023-10-09 01:00:00,1847.52,1855.6,1845.44,1849.73,6969
2023-10-09 02:00:00,1849.73,1849.84,1846.45,1847.95,3794
2023-10-09 03:00:00,1847.96,1852.48,1846.26,1852.38,5460
2023-10-09 04:00:00,1852.38,1852.79,1847.33,1849.03,9069
2023-10-09 05:00:00,1849.01,1852.8,1848.83,1850.46,4542
2023-10-09 06:00:00,1850.49,1851.55,1848.7,1851.11,2951
2023-10-09 07:00:00,1851.11,1853.29,1850.09,1850.5,3250
2023-10-09 08:00:00,1850.54,1852.33,1848.08,1851.83,5042
2023-10-09 09:00:00,1851.84,1854.48,1849.94,1850.06,8394
2023-10-09 10:00:00,1850.06,1852.61,1848.07,1850.48,9690
2023-10-09 11:00:00,1850.45,1850.96,1848.94,1850.46,6352
2023-10-09 12:00:00,1850.47,1852.34,1849.98,1851.21,4953
2023-10-09 13:00:00,1851.22,1852.0,1849.83,1850.14,4359
2023-10-09 14:00:00,1850.13,1850.42,1849.07,1850.02,4042
2023-10-09 15:00:00,1850.02,1850.06,1845.01,1848.0,9792
2023-10-09 16:00:00,1847.99,1849.48,1844.23,1845.37,19765
2023-10-09 17:00:00,1845.35,1852.48,1845.1,1852.09,12135
2023-10-09 18:00:00,1852.1,1853.21,1850.56,1851.59,9510
2023-10-09 19:00:00,1851.6,1851.82,1848.68,1850.06,6259
2023-10-09 20:00:00,1850.06,1855.5,1849.97,1854.49,7218
2023-10-09 21:00:00,1854.48,1857.66,1854.47,1857.1,4446
2023-10-09 22:00:00,1857.08,1863.49,1856.99,1863.3,5538
2023-10-09 23:00:00,1863.28,1863.28,1860.82,1861.35,1712
2023-10-10 01:00:00,1861.18,1861.8,1860.58,1861.46,1144
2023-10-10 02:00:00,1861.45,1862.73,1860.35,1862.55,2051
2023-10-10 03:00:00,1862.54,1865.37,1861.41,1864.06,7934
2023-10-10 04:00:00,1864.09,1865.27,1863.06,1863.75,9803
