Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
256,7175,7176,2503.58,2498.1719642857142,2498.1719642857142,2531.030785714286,-1640.546843428565,256.0897005714286,-0.0025596889682546167,2024-08-21 16:00:00,2024-08-21 17:00:00,0 days 01:00:00,ob
71,7198,7199,2494.94,2475.706964285714,2475.706964285714,2530.840785714286,-1436.1287226071604,70.58318689285714,-0.008107275167796846,2024-08-22 16:00:00,2024-08-22 17:00:00,0 days 01:00:00,ob
-137,7216,7222,2495.19,2505.039107142857,2505.039107142857,2471.113642857143,-1486.3339561071323,137.0062775357143,-0.004348026789256726,2024-08-23 11:00:00,2024-08-23 17:00:00,0 days 06:00:00,ob
-132,7223,7238,2509.07,2519.2089285714287,2519.2089285714287,2471.2935714285713,-1471.0851351428544,132.74656371428574,-0.004441719185651632,2024-08-23 18:00:00,2024-08-26 10:00:00,2 days 16:00:00,sweep
460,7245,7256,2510.75,2507.867142857143,2507.867142857143,2531.128857142857,-1787.8270628571322,461.71277714285714,-0.0015479759320635492,2024-08-26 17:00:00,2024-08-27 05:00:00,0 days 12:00:00,ob
-255,7261,7272,2516.75,2521.883928571429,2521.883928571429,2471.1555714285714,-1566.1221160715113,256.97033035714287,-0.002440312052108211,2024-08-27 10:00:00,2024-08-27 21:00:00,0 days 11:00:00,ob
-268,7290,7300,2507.75,2512.559285714286,2512.559285714286,2471.249714285714,-1557.9771491429428,269.08857771428575,-0.002318152755030927,2024-08-28 16:00:00,2024-08-29 03:00:00,0 days 11:00:00,ob
-280,7316,7317,2522.5,2527.0480357142856,2527.0480357142856,2493.5852142857143,-1556.224689999957,282.77469,-0.002203347996601927,2024-08-29 19:00:00,2024-08-29 20:00:00,0 days 01:00:00,sweep
-316,7354,7355,2501.84,2506.16,,2490.439428571429,-1681.625599999908,316.5056,-0.002127074473187631,2024-09-02 11:00:00,2024-09-02 12:00:00,0 days 01:00:00,ob
-215,7405,7418,2496.16,2501.898035714286,2501.898035714286,2472.4692142857143,-1448.5941741072195,214.91649553571432,-0.002699204907309093,2024-09-04 18:00:00,2024-09-05 08:00:00,0 days 14:00:00,sweep
540,7452,7453,2494.97,2488.91,,2526.339,-3810.6590399999704,538.2590399999999,-0.0028284011430999446,2024-09-06 19:00:00,2024-09-06 20:00:00,0 days 01:00:00,ob
303,7517,7518,2519.03,2508.07,,2528.6967142857143,-3625.522260000011,304.6422600000001,-0.004750010916900584,2024-09-11 15:00:00,2024-09-11 16:00:00,0 days 01:00:00,ob
262,7519,7540,2507.05,2528.4840714285715,2502.640178571429,2528.4840714285715,5351.864728942827,263.86198534285717,0.008147809024265725,2024-09-11 17:00:00,2024-09-12 15:00:00,0 days 22:00:00,ob
-140,7631,7638,2579.27,2587.9076785714287,2587.9076785714287,2511.3350714285716,-1353.955975000025,144.680975,-0.0037495547605108583,2024-09-18 14:00:00,2024-09-18 21:00:00,0 days 07:00:00,ob
358,7696,7697,2620.3,2615.05,,2630.769214285714,-2254.35106,374.85106,-0.002403186658016235,2024-09-23 10:00:00,2024-09-23 11:00:00,0 days 01:00:00,ob
350,7698,7702,2616.74,2630.7411428571427,2613.3928571428573,2630.7411428571427,4533.076320000013,367.32367999999997,0.004949535157704438,2024-09-23 12:00:00,2024-09-23 16:00:00,0 days 04:00:00,sweep
303,7719,7726,2623.52,2639.514142857143,2619.4953571428573,2639.514142857143,4527.285416657136,318.93986905714286,0.005695224747122718,2024-09-24 10:00:00,2024-09-24 17:00:00,0 days 07:00:00,ob
