Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
269,3701,3703,2022.96,2019.3807142857142,2019.3807142857142,2030.1185714285716,-1180.3057875714485,217.47793042857143,-0.0021689770717873385,2024-01-22 07:00:00,2024-01-22 09:00:00,0 days 02:00:00,ob
249,3756,3757,2025.7,2021.8844642857143,2021.8844642857143,2033.3310714285715,-1151.6380991785718,201.5697063214286,-0.002283187346173135,2024-01-24 16:00:00,2024-01-24 17:00:00,0 days 01:00:00,ob
-283,3773,3775,2015.67,2019.0908928571428,2019.0908928571428,2009.1282142857144,-1196.4801451070955,228.36746653571427,-0.0020974886939399673,2024-01-25 10:00:00,2024-01-25 12:00:00,0 days 02:00:00,sweep
-149,3818,3822,2031.31,2027.55,2037.5057142857142,2018.9185714285713,439.28597199999865,120.95402800000001,0.0014513924511768527,2024-01-29 09:00:00,2024-01-29 13:00:00,0 days 04:00:00,ob
186,3850,3870,2032.71,2042.6678571428572,2027.6860714285715,2042.6678571428572,1700.5573722857184,151.6040562857143,0.004497828795759552,2024-01-30 18:00:00,2024-01-31 15:00:00,0 days 21:00:00,sweep
267,3890,3891,2035.86,2031.97,,2042.9689285714283,-1255.8521219999661,217.222122,-0.0023103582761093075,2024-02-01 12:00:00,2024-02-01 13:00:00,0 days 01:00:00,ob
90,3894,3896,2039.93,2060.6517857142862,2029.569107142857,2060.6517857142862,1791.1502421428982,73.81047214285715,0.00975605503970403,2024-02-01 16:00:00,2024-02-01 18:00:00,0 days 02:00:00,sweep
84,3916,3917,2041.28,2029.9710714285713,2029.9710714285713,2063.897857142857,-1018.3470180000044,68.397018,-0.005939008262322816,2024-02-02 15:00:00,2024-02-02 16:00:00,0 days 01:00:00,ob
140,3920,3931,2036.18,2029.4667857142856,2029.4667857142856,2049.606428571429,-1053.688110000024,113.83811,-0.003696305652180688,2024-02-02 19:00:00,2024-02-05 07:00:00,2 days 12:00:00,ob
-271,3957,3962,2026.27,2029.6992857142857,2029.6992857142857,2019.3814285714286,-1149.1699638571383,219.8335352857143,-0.0020927514948297795,2024-02-06 10:00:00,2024-02-06 15:00:00,0 days 05:00:00,sweep
-341,3963,3963,2029.12,2031.835,2031.835,2023.7200000000003,-1202.7721310000497,276.957131,-0.0017382860550387803,2024-02-06 16:00:00,2024-02-06 16:00:00,0 days 00:00:00,sweep
-432,4031,4032,2036.25,2027.1,2038.3582142857142,2032.0335714285716,3601.726560000039,351.07344,0.004094453038674075,2024-02-09 15:00:00,2024-02-09 16:00:00,0 days 01:00:00,ob
-328,4077,4078,2030.86,2004.45,2033.7467857142858,2025.086428571428,8397.763663999953,264.71633599999996,0.012606943856297242,2024-02-13 15:00:00,2024-02-13 16:00:00,0 days 01:00:00,ob
496,4215,4217,2024.29,2022.2157142857143,2022.2157142857143,2028.4385714285713,-1430.2590811428397,401.4133668571429,-0.0014244929615533487,2024-02-21 17:00:00,2024-02-21 19:00:00,0 days 02:00:00,ob
283,4237,4237,2025.74,2022.1094642857142,2022.1094642857142,2032.8810714285717,-1256.5498868214445,229.10827967857145,-0.0021918437741975643,2024-02-22 16:00:00,2024-02-22 16:00:00,0 days 00:00:00,sweep
305,4252,4257,2018.14,2022.89,2014.8482142857144,2024.7235714285714,1202.2471699999999,246.50283000000005,0.0019531816425024267,2024-02-23 08:00:00,2024-02-23 13:00:00,0 days 05:00:00,ob
-211,4260,4261,2025.31,2030.2080357142856,2030.2080357142856,2015.813928571429,-1204.628396821425,171.14286110714286,-0.002818896525187979,2024-02-23 16:00:00,2024-02-23 17:00:00,0 days 01:00:00,sweep
-215,4262,4263,2031.21,2038.32,,2021.8778571428575,-1703.6397899999786,174.98979000000003,-0.003901076698125787,2024-02-23 18:00:00,2024-02-23 19:00:00,0 days 01:00:00,ob
-143,4330,4351,2031.83,2038.748392857143,2038.748392857143,2018.0532142857137,-1105.7487206071762,116.4185420357143,-0.003805686763023679,2024-02-28 17:00:00,2024-02-29 15:00:00,0 days 22:00:00,sweep
160,4467,4475,2149.07,2161.25892857143,2142.9755357142853,2161.25892857143,1812.298045714457,137.93052571428575,0.005270588108211992,2024-03-07 16:00:00,2024-03-08 01:00:00,0 days 09:00:00,ob
